date,ticker,close
2021-04-30,SPY,389.75
2021-05-03,XLK,67.13
2021-05-03,XLF,33.57
2021-05-03,XLV,113.68
2021-05-03,XLY,85.66
2021-05-03,XLP,61.85
2021-05-03,XLI,95.69
2021-05-03,XLE,21.23
2021-05-03,XLU,28.86
2021-05-03,XLRE,36.31
2021-05-03,XLB,38.31
2021-05-03,XLC,74.04
2021-05-03,SPY,390.59
2021-05-04,XLK,65.92
2021-05-04,XLF,33.84
2021-05-04,XLV,113.8
2021-05-04,XLY,84.76
2021-05-04,XLP,61.53
2021-05-04,XLI,96.11
2021-05-04,XLE,21.24
2021-05-04,XLU,28.75
2021-05-04,XLRE,36.09
2021-05-04,XLB,38.73
2021-05-04,XLC,73.37
2021-05-04,SPY,388.18
2021-05-05,XLK,65.77
2021-05-05,XLF,34.11
2021-05-05,XLV,114.01
2021-05-05,XLY,84.5
2021-05-05,XLP,61.48
2021-05-05,XLI,96.2
2021-05-05,XLE,21.93
2021-05-05,XLU,28.26
2021-05-05,XLRE,35.56
2021-05-05,XLB,39.22
2021-05-05,XLC,73.23
2021-05-05,SPY,388.3
2021-05-06,XLK,66.43
2021-05-06,XLF,34.62
2021-05-06,XLV,114.15
2021-05-06,XLY,84.68
2021-05-06,XLP,62.28
2021-05-06,XLI,96.87
2021-05-06,XLE,22.04
2021-05-06,XLU,28.48
2021-05-06,XLRE,35.73
2021-05-06,XLB,39.55
2021-05-06,XLC,74.09
2021-05-06,SPY,391.4
2021-05-07,XLK,66.99
2021-05-07,XLF,34.81
2021-05-07,XLV,114.94
2021-05-07,XLY,85.44
2021-05-07,XLP,62.28
2021-05-07,XLI,97.89
2021-05-07,XLE,22.43
2021-05-07,XLU,28.57
2021-05-07,XLRE,36.17
2021-05-07,XLB,39.94
2021-05-07,XLC,74.65
2021-05-07,SPY,394.25
2021-05-10,XLK,65.3
2021-05-10,XLF,34.78
2021-05-10,XLV,115.09
2021-05-10,XLY,83.92
2021-05-10,XLP,62.75
2021-05-10,XLI,97.99
2021-05-10,XLE,22.44
2021-05-10,XLU,28.86
2021-05-10,XLRE,36.33
2021-05-10,XLB,39.77
2021-05-10,XLC,73.22
2021-05-10,SPY,390.35
2021-05-11,XLK,65.11
2021-05-11,XLF,34.16
2021-05-11,XLV,113.85
2021-05-11,XLY,82.97
2021-05-11,XLP,62.21
2021-05-11,XLI,96.54
2021-05-11,XLE,21.86
2021-05-11,XLU,28.5
2021-05-11,XLRE,35.9
2021-05-11,XLB,39.9
2021-05-11,XLC,73.01
2021-05-11,SPY,386.87
2021-05-12,XLK,63.27
2021-05-12,XLF,33.81
2021-05-12,XLV,112.77
2021-05-12,XLY,80.16
2021-05-12,XLP,61.38
2021-05-12,XLI,94.22
2021-05-12,XLE,21.97
2021-05-12,XLU,27.84
2021-05-12,XLRE,35.03
2021-05-12,XLB,38.89
2021-05-12,XLC,71.58
2021-05-12,SPY,378.65
2021-05-13,XLK,64.11
2021-05-13,XLF,34.35
2021-05-13,XLV,113.79
2021-05-13,XLY,80.73
2021-05-13,XLP,62.24
2021-05-13,XLI,95.99
2021-05-13,XLE,21.7
2021-05-13,XLU,28.37
2021-05-13,XLRE,35.48
2021-05-13,XLB,39.49
2021-05-13,XLC,72.1
2021-05-13,SPY,383.19
2021-05-14,XLK,65.52
2021-05-14,XLF,34.9
2021-05-14,XLV,114.37
2021-05-14,XLY,82.13
2021-05-14,XLP,62.52
2021-05-14,XLI,97.32
2021-05-14,XLE,22.37
2021-05-14,XLU,28.51
2021-05-14,XLRE,35.81
2021-05-14,XLB,39.96
2021-05-14,XLC,73.52
2021-05-14,SPY,389.08
2021-05-17,XLK,65.04
2021-05-17,XLF,34.96
2021-05-17,XLV,114.15
2021-05-17,XLY,81.98
2021-05-17,XLP,62.43
2021-05-17,XLI,97.02
2021-05-17,XLE,22.89
2021-05-17,XLU,28.28
2021-05-17,XLRE,35.83
2021-05-17,XLB,40.31
2021-05-17,XLC,72.94
2021-05-17,SPY,388.09
2021-05-18,XLK,64.52
2021-05-18,XLF,34.47
2021-05-18,XLV,114.19
2021-05-18,XLY,81.34
2021-05-18,XLP,62.23
2021-05-18,XLI,95.61
2021-05-18,XLE,22.36
2021-05-18,XLU,28.27
2021-05-18,XLRE,35.9
2021-05-18,XLB,39.87
2021-05-18,XLC,72.19
2021-05-18,SPY,384.74
2021-05-19,XLK,64.75
2021-05-19,XLF,34.26
2021-05-19,XLV,114.0
2021-05-19,XLY,80.66
2021-05-19,XLP,62.03
2021-05-19,XLI,95.07
2021-05-19,XLE,21.81
2021-05-19,XLU,28.23
2021-05-19,XLRE,35.76
2021-05-19,XLB,39.26
2021-05-19,XLC,72.31
2021-05-19,SPY,383.74
2021-05-20,XLK,65.99
2021-05-20,XLF,34.28
2021-05-20,XLV,115.19
2021-05-20,XLY,81.49
2021-05-20,XLP,62.6
2021-05-20,XLI,95.28
2021-05-20,XLE,21.77
2021-05-20,XLU,28.47
2021-05-20,XLRE,36.2
2021-05-20,XLB,39.28
2021-05-20,XLC,73.55
2021-05-20,SPY,387.86
2021-05-21,XLK,65.63
2021-05-21,XLF,34.62
2021-05-21,XLV,115.21
2021-05-21,XLY,81.08
2021-05-21,XLP,62.61
2021-05-21,XLI,95.75
2021-05-21,XLE,21.82
2021-05-21,XLU,28.62
2021-05-21,XLRE,36.14
2021-05-21,XLB,39.37
2021-05-21,XLC,73.3
2021-05-21,SPY,387.55
2021-05-24,XLK,66.79
2021-05-24,XLF,34.79
2021-05-24,XLV,115.32
2021-05-24,XLY,81.88
2021-05-24,XLP,62.8
2021-05-24,XLI,96.34
2021-05-24,XLE,22.04
2021-05-24,XLU,28.57
2021-05-24,XLRE,36.54
2021-05-24,XLB,39.72
2021-05-24,XLC,74.63
2021-05-24,SPY,391.5
2021-05-25,XLK,66.81
2021-05-25,XLF,34.44
2021-05-25,XLV,114.98
2021-05-25,XLY,82.14
2021-05-25,XLP,62.82
2021-05-25,XLI,96.05
2021-05-25,XLE,21.59
2021-05-25,XLU,28.22
2021-05-25,XLRE,36.64
2021-05-25,XLB,39.38
2021-05-25,XLC,74.61
2021-05-25,SPY,390.63
2021-05-26,XLK,66.81
2021-05-26,XLF,34.54
2021-05-26,XLV,114.31
2021-05-26,XLY,82.93
2021-05-26,XLP,62.68
2021-05-26,XLI,96.36
2021-05-26,XLE,21.78
2021-05-26,XLU,28.23
2021-05-26,XLRE,36.72
2021-05-26,XLB,39.39
2021-05-26,XLC,75.1
2021-05-26,SPY,391.4
2021-05-27,XLK,66.45
2021-05-27,XLF,34.93
2021-05-27,XLV,114.06
2021-05-27,XLY,83.26
2021-05-27,XLP,62.3
2021-05-27,XLI,97.68
2021-05-27,XLE,21.8
2021-05-27,XLU,28.03
2021-05-27,XLRE,36.68
2021-05-27,XLB,39.71
2021-05-27,XLC,75.39
2021-05-27,SPY,391.61
2021-05-28,XLK,66.69
2021-05-28,XLF,35.0
2021-05-28,XLV,114.51
2021-05-28,XLY,83.14
2021-05-28,XLP,62.43
2021-05-28,XLI,97.68
2021-05-28,XLE,21.84
2021-05-28,XLU,28.19
2021-05-28,XLRE,36.93
2021-05-28,XLB,39.67
2021-05-28,XLC,75.14
2021-05-28,SPY,392.31
2021-06-01,XLK,66.36
2021-06-01,XLF,35.21
2021-06-01,XLV,112.63
2021-06-01,XLY,82.98
2021-06-01,XLP,62.22
2021-06-01,XLI,98.06
2021-06-01,XLE,22.68
2021-06-01,XLU,28.01
2021-06-01,XLRE,37.56
2021-06-01,XLB,40.22
2021-06-01,XLC,75.19
2021-06-01,SPY,391.96
2021-06-02,XLK,66.82
2021-06-02,XLF,35.27
2021-06-02,XLV,112.4
2021-06-02,XLY,82.6
2021-06-02,XLP,62.45
2021-06-02,XLI,97.78
2021-06-02,XLE,23.1
2021-06-02,XLU,28.16
2021-06-02,XLRE,38.08
2021-06-02,XLB,39.89
2021-06-02,XLC,74.96
2021-06-02,SPY,392.58
2021-06-03,XLK,66.2
2021-06-03,XLF,35.35
2021-06-03,XLV,112.75
2021-06-03,XLY,81.62
